id,address,careerPageURL,categories,city,claimed,country,cuisines,dateAdded,dateUpdated,descriptions,emails,facebookPageURL,faxes,features,geoLocation,hours,imageURLs,isClosed,keys,languagesSpoken,latitude,longitude,menuPageURL,menus,name,neighborhoods,numEmployeesMin,numEmployeesMax,numRoom,ownershipType,paymentTypes,people,phones,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,primaryCategories,productsOrServices,province,revenueCurrency,revenueMin,revenueMax,reviews,rooms,sic,sourceURLs,stockSymbol,technologiesUsed,twitter,websites,yearIncorporated,yearOpened
"AW6Z06-M4DDCEIhFLiuh","1927 S Wadsworth Blvd, Ste 2",,"Grocery Stores,Electronic Banking,Specialty Financial Services,Banks,Consumer and Business Loans","Denver",,"US",,"2019-11-23T19:53:37Z","2019-11-23T19:53:37Z","[{""value"":""Let the U.S. Bank Wadsworth Jewell King Soopers Office help you bank smarter with Online Banking, Bill Pay, Checking Accounts, Savings Accounts, Bank Loans and Student Loans."",""sourceURLs"":[""https://www.dexknows.com/business_profiles/u_s__bank_branch-l0142772697""],""dateSeen"":""2019-11-23T19:54:00.000Z""}]",,"https://facebook.com/usbank","+1 303-984-0918","[{""value"":[""MR15372961""],""key"":""Additional Information""},{""value"":[""Market Square At Wadsworth""],""key"":""Location Info""},{""value"":[""Sanctuary""],""key"":""Brands""},{""value"":[""Equal Housing Lender"",""Certified"",""Fdic"",""Insured""],""key"":""Certification and Affiliations""}]","POINT (-105.08172000 39.68188000)","[{""day"":""Sun"",""hour"":""11:00am - 4:00pm""},{""day"":""Mon"",""hour"":""9:00am - 7:00pm""},{""day"":""Tue"",""hour"":""9:00am - 7:00pm""},{""day"":""Sat"",""hour"":""9:00am - 4:00pm""},{""day"":""Wed"",""hour"":""9:00am - 7:00pm""},{""day"":""Fri"",""hour"":""9:00am - 7:00pm""},{""day"":""Thu"",""hour"":""9:00am - 7:00pm""}]","https://media.dexknows.com/media/photos/cc6b/69e0/4e66/ab4d/b007/727e/37d6/6efc/thumb/cc6b69e04e66ab4db007727e37d66efc.png",,"us/co/denver/1927swadsworthblvdste2/-2052886532",,"39.68188000","-105.08172000",,,"U.S. Bank Branch",,,,,,,,,"80227",,,,"Finance & Insurance","Retirement Planning,Wealth Management,Mutual Funds,Income Tax,Roth IRA,Tax Deductions,Financial Planning,Asset Management,Annuities,Investment Management","CO",,,,,,,"https://www.dexknows.com/business_profiles/u_s__bank_branch-l0142772697",,,"usbank","https://locations.usbank.com/",,1997
"AWd2OvOZIxWefVJw-ae0","455 S Colorado Blvd Lbby A",,"Groceries,Hotels and motels,Halls and auditoriums,American restaurants,Restaurants","Denver",,"US",,"2018-12-03T22:09:19Z","2019-11-23T19:38:10Z",,,,,,,,,,"us/co/denver/455scoloradoblvdlbbya/-919908910",,,,,,"Holiday Inn-cherry Creek",,,,,,,,"+1 303-388-5561","80246",,,,"Accommodation & Food Services",,"CO",,,,,,,"http://www.yellowbook.com/profile/holiday-inn-cherry-creek_1898541332.html,https://www.yellowbook.com/profile/holiday-inn-cherry-creek_1898541332.html",,,,"http://www.cherrycreekhoteldenver.com/",,
"AV5Z_1zE3-Khe5l_VfC6","1927 S Wadsworth Blvd Ste 2",,"Loans,Groceries,Automated teller machines (atm),Banking,Investment advisory service,Real estate","Denver",,"US",,"2017-09-07T01:26:54Z","2019-11-22T08:15:34Z",,,,,"[{""key"":""Specialty"",""value"":[""Commercial Bank""]},{""key"":""special service offered"",""value"":[""Notary Service""]},{""key"":""license,certification or accreditation"",""value"":[""Equal Housing Lender""]},{""key"":""Licenses, Certifications, Accreditations"",""value"":[""Equal Housing Lender""]}]",,"[{""day"":""Tue"",""hour"":""12:00am - 11:59pm""},{""day"":""Wed"",""hour"":""12:00am - 11:59pm""},{""day"":""Sat"",""hour"":""12:00am - 11:59pm""},{""day"":""Thu"",""hour"":""09:00AM - 07:00PM""},{""day"":""Fri"",""hour"":""12:00am - 11:59pm""},{""day"":""Fri"",""hour"":""09:00AM - 07:00PM""},{""day"":""Sun"",""hour"":""12:00am - 11:59pm""},{""day"":""Thu"",""hour"":""12:00am - 11:59pm""},{""day"":""Tue"",""hour"":""09:00AM - 07:00PM""},{""day"":""Mon"",""hour"":""09:00AM - 07:00PM""},{""day"":""Sat"",""hour"":""09:00AM - 04:00PM""},{""day"":""Wed"",""hour"":""09:00AM - 07:00PM""},{""day"":""Sun"",""hour"":""11:00AM - 04:00PM""},{""day"":""Mon"",""hour"":""12:00am - 11:59pm""}]",,,"us/co/denver/1927swadsworthblvdste2/-836135462",,,,,,"US Bank",,,,,,,,"+1 303-935-4478,+1 303-984-0837","80227",,,,"Finance & Insurance","Banking Packages,Cash Advances,Mortgages / Home Loans,Money Orders,VISA Gift Cards,Checking Accounts,Coin Counter,Money Market Accounts,Direct Deposit,Personal Banking,Credit Cards,Savings Accounts,Notary Service,Small Business Banking / SBA Loans,Home Equity Lines of Credit (HELOC),Certificates of Deposit,Asset Management,Wire Transfers,Telephone Banking,Investment Products,Student Loans","CO",,,,,,,"https://www.yellowbook.com/profile/us-bank_1891803931.html,http://www.yellowbook.com/profile/us-bank_1891803931.html,https://www.yellowbook.com/profile/us-bank_1870279350.html,http://www.yellowbook.com/profile/us-bank_1870279350.html",,,,"https://locations.usbank.com/",,
"AWe9JaX4RxPSIh2R6yNW","1755 16th St",,"Grocery Stores,Carry-out food,Caterers,American restaurants,Karaoke,Bistro restaurants,Cafes,Catering,Restaurants","Denver",,"US",,"2018-12-17T15:15:46Z","2019-11-22T08:03:05Z",,,,,"[{""key"":""Tags"",""value"":[""Carry Out""]}]","POINT (-105.0018 39.7524)",,,,"us/co/denver/175516thst/302366708",,"39.7524","-105.0018",,,"Protein Bar Kitchen",,,,,,,,"+1 303-893-0898","80202",,,,"Accommodation & Food Services",,"CO",,,,,,,"https://www.yellowbook.com/profile/protein-bar-and-kitchen_1897936648.html,http://www.citysearch.com/profile/838626590/denver_co/protein_bar_kitchen.html,http://www.yellowbook.com/profile/protein-bar-and-kitchen_1897936648.html",,,,"https://www.theproteinbar.com/",,
"AWr-6lm1Z4Yw-wtdisH1","300 University Blvd",,"Groceries,Florists","Denver",,"US",,"2019-05-28T14:48:52Z","2019-11-22T07:57:49Z",,,,,,,,,,"us/co/denver/300universityblvd/1403371040",,,,,,"Bloom By Anuschka",,,,,,,,"+1 720-941-2862","80206",,,,"Retail",,"CO",,,,,,,"https://www.yellowbook.com/profile/bloom-by-anuschka_1892812068.html",,,,"https://www.bloomdenver.com/",,
"AWdXhe-sIxWefVJw9Dt-","560 N Corona St",,"Groceries,Dental equipment and supplies,Florists,Bistro restaurants,Liquor stores,Cafes,Coffee and tea-retail,Public markets,Pharmacies,Coffee house and espresso bar restaurants","Denver",,"US",,"2018-11-27T22:37:27Z","2019-11-22T07:57:44Z",,,,,"[{""key"":""Departments"",""value"":[""Bakery,Pharmacy,Photo Lab,Beers,Customer Service,Produce,Seafood,Coffee / Tea,Wine / Liquor,Deli,Florist / Balloons""]},{""key"":""special service offered"",""value"":[""Video Rentals""]}]",,,,,"us/co/denver/560ncoronast/1858061378",,,,,,"Safeway",,,,,,,,"+1 303-777-1231","80218",,,,"Retail","Video Rentals","CO",,,,"[{""title"":""wow what a store"",""username"":""Swan Andrews"",""date"":""2010-03-11T00:00:00.000Z"",""dateSeen"":""2019-11-22T07:57:44.665Z"",""rating"":5.0,""text"":""this safeway has the most wonderful staff in all of denver keep up th good work"",""sourceURLs"":[""http://www.yellowbook.com/profile/safeway_1861157104.html"",""https://www.yellowbook.com/profile/safeway_1861157104.html""]}]",,,"http://www.yellowbook.com/profile/safeway_1861157104.html,https://www.yellowbook.com/profile/safeway_1861157104.html",,,,"http://www.local.safeway.com/",1915,1915
"AV-VwecZRxPSIh2RmXuD","3100 S Sheridan Blvd Unit 200",,"Groceries,Florists,Bakeries,Pharmacies","Denver",,"US",,"2017-11-07T09:03:31Z","2019-11-22T07:57:29Z",,,"https://facebook.com/kingsoopers/app_190322544333196",,"[{""key"":""Customers Served"",""value"":[""Individual / Personal""]}]",,"[{""day"":""Tue"",""hour"":""12:00am - 11:59pm""},{""day"":""Wed"",""hour"":""12:00am - 11:59pm""},{""day"":""Sat"",""hour"":""12:00am - 11:59pm""},{""day"":""Fri"",""hour"":""12:00am - 11:59pm""},{""day"":""Sun"",""hour"":""12:00am - 11:59pm""},{""day"":""Thu"",""hour"":""12:00am - 11:59pm""},{""day"":""Mon"",""hour"":""12:00am - 11:59pm""}]",,,"us/co/denver/3100ssheridanblvdunit200/1977486226",,,,,,"King Soopers",,,,,,,,"+1 303-937-4400,+1 303-937-4404","80227",,,,"Retail","Plants,Full Pharmacy,Gift Certificates","CO",,,,,,,"https://www.yellowbook.com/profile/king-soopers_1861157008.html,http://www.yellowbook.com/profile/king-soopers_1861157008.html",,,"MyKingSoopers","http://www.kinkos.com/",,
"AVzBEljxLD2H7whiWL2Q","4600 Leetsdale Dr",,"Groceries,Florists,Supermarket,Produce Markets,Pharmacies,Grocery Stores,Delis And Delicatessens,Grocery Store,Pharmacy,Seafood Markets,Butcher Shops,Organic Foods,Bakeries","Denver",,"US",,"2017-06-19T15:57:04Z","2019-11-22T07:57:29Z",,,"https://facebook.com/kingsoopers/app_190322544333196",,"[{""key"":""Areas Served"",""value"":[""City Wide,County Wide,Local Delivery,Nation Wide,World Wide""]},{""key"":""Departments"",""value"":[""Bakery,Customer Service,Deli,Pharmacy,Photo Lab""]},{""key"":""special service offered"",""value"":[""ATM On Site""]},{""key"":""Customers Served"",""value"":[""Business,Corporate,Individual / Personal,Retail""]},{""key"":""Events"",""value"":[""All Special Occasions,Anniversaries,Birthdays,Funerals,Weddings""]},{""key"":""Credit Cards"",""value"":[""Yes (incl. American Express)""]}]","POINT (-104.9325 39.7084)","[{""day"":""Wednesday"",""hour"":""12:00 PM - 9:00 PM""},{""day"":""Sunday"",""hour"":""9:00 AM - 9:00 PM""},{""day"":""Monday - Sunday"",""hour"":""12:00 am - 11:59 pm""},{""day"":""Monday"",""hour"":""12:00 PM - 9:00 PM""},{""day"":""Friday"",""hour"":""12:00 PM - 8:00 PM""},{""day"":""Wednesday - Thursday"",""hour"":""12:00 PM - 9:00 PM""},{""day"":""Saturday"",""hour"":""10:00 AM - 9:00 PM""},{""day"":""Thursday"",""hour"":""12:00 PM - 9:00 PM""}]",,,"us/co/denver/4600leetsdaledr/1977486226",,"39.7084","-104.9325",,,"King Soopers",,,,,,"discover,american express,visa,mastercard,check,cash",,"+1 303-320-3100,+1 303-320-3110","80246",,,,"Retail","Herbs,Trees,Floral Arrangements,Free Delivery,Gift Shop,Fresh Flowers,Plants,Local Florist,Imported Chocolates,Garden Center,Commercial Accounts,ATM On Site,Gift Baskets,Annuals,Specialty Baskets,Greenhouse,Frequent Buyer Discount,Gift Certificates","CO",,,,,,,"http://www.yellowbook.com/profile/king-soopers_1859263661.html,https://www.yellowbook.com/profile/king-soopers_1859263661.html,http://www.citysearch.com/profile/745361710/glendale_co/king_soopers.html",,,"MyKingSoopers","https://www.kingsoopers.com/,http://www.kingsoopers.com/,https://www.kingsoopers.com/stores/details/620/00124?cid=loc_62000124_other",,
"AVwc9CpO_7pvs4fz0uI1","2810 Quebec St",,"Groceries,Grocery Store and Supermarket,Florists,Supermarket,Bistro restaurants,Cafes,Produce Markets,Pharmacies,Coffee house and espresso bar restaurants,Grocery Stores,Delis And Delicatessens,Grocery Store,Seafood Markets,Butcher Shops,Organic Foods,Coffee and tea-retail,Bakeries","Denver",,"US",,"2016-01-13T02:35:18Z","2019-11-22T07:57:27Z",,,"https://facebook.com/kingsoopers/app_190322544333196",,"[{""key"":""Specialty"",""value"":[""Convenience Store,Supermarket""]},{""key"":""acceptsCreditCard"",""value"":[""Yes (incl. Discover & MasterCard)""]},{""key"":""Departments"",""value"":[""Coffee / Tea,Seafood,Deli,Wine / Liquor,Florist / Balloons,Bakery,Photo Lab,Pharmacy,Beers,Produce,Organic Foods,Customer Service,Cheese Shop""]},{""key"":""Dining Options"",""value"":[""Delivery""]},{""key"":""special service offered"",""value"":[""Western Union""]},{""key"":""Outdoor Seating"",""value"":[""Yes""]},{""key"":""Credit Cards"",""value"":[""Yes (incl. Discover MasterCard)""]}]","POINT (-104.9014 39.7566)","[{""day"":""Sun"",""hour"":""10:00AM - 06:00PM""},{""day"":""Fri"",""hour"":""08:00AM - 09:00PM""},{""day"":""Mon - Sun"",""hour"":""24 Hours""},{""day"":""Monday - Sunday"",""hour"":""12:00 am - 11:59 pm""},{""day"":""Tue"",""hour"":""08:00AM - 09:00PM""},{""day"":""Wed"",""hour"":""08:00AM - 09:00PM""},{""day"":""Monday - Sunday"",""hour"":""5:00 am - 12:00 am""},{""day"":""Monday - Sunday"",""hour"":""24 Hours""},{""day"":""Thu"",""hour"":""08:00AM - 09:00PM""},{""day"":""Mon"",""hour"":""08:00AM - 09:00PM""},{""day"":""Sat"",""hour"":""09:00AM - 06:00PM""}]",,,"us/co/denver/2810quebecst/1977486226",,"39.7566","-104.9014",,,"King Soopers",,,,,,"discover,american express,visa,mastercard,check,cash",,"+1 303-333-3223","80207",,,,"Retail","Grocery,Western Union,Full Pharmacy","CO",,,,"[{""title"":""King Soopers"",""username"":""Sieana Tracey"",""date"":""2010-03-16T00:00:00.000Z"",""dateSeen"":""2019-11-22T07:57:27.480Z"",""rating"":3.0,""text"":""Great store, great price, great service"",""sourceURLs"":[""https://www.yellowbook.com/profile/king-soopers_1492959203.html"",""https://www.yellowbook.com/profile/starbucks_1492959203.html""]},{""title"":""Sooper Savings"",""username"":""Nikki Wright"",""date"":""2010-03-26T00:00:00.000Z"",""dateSeen"":""2019-11-22T07:57:27.480Z"",""rating"":3.0,""text"":""I love the Super Sooper Savings"",""sourceURLs"":[""https://www.yellowbook.com/profile/king-soopers_1492959203.html"",""https://www.yellowbook.com/profile/starbucks_1492959203.html""]}]",,,"https://www.yellowbook.com/profile/king-soopers_1492959203.html,http://www.yellowbook.com/profile/king-soopers_1492959203.html,https://www.yellowbook.com/profile/starbucks_1492959203.html",,,"MyKingSoopers","https://www.kingsoopers.com/stores/details/620/00093?cid=loc_62000093_other,http://www.kingsoopers.com/",,
"AVwdbGKUIN2L1WUfvqhz","2727 W Evans Ave",,"Grocery Stores,Delis And Delicatessens,Groceries,Grocery Store,Gas Station,Seafood Markets,Florists,Butcher Shops,Organic Foods,Bakeries,Produce Markets,Pharmacies","Denver",,"US",,"2016-02-09T03:19:41Z","2019-11-22T07:33:54Z",,,"https://facebook.com/kingsoopers/app_190322544333196",,"[{""key"":""acceptsCreditCard"",""value"":[""Yes""]},{""key"":""Departments"",""value"":[""Bakery,Customer Service,Deli,Pharmacy,Photo Lab""]},{""key"":""special service offered"",""value"":[""Western Union""]},{""key"":""Credit Cards"",""value"":[""Yes""]}]","POINT (-105.0212 39.6794)","[{""day"":""Thu"",""hour"":""05:00AM - 12:00AM""},{""day"":""Monday - Sunday"",""hour"":""5:00 am - 12:00 am""},{""day"":""Monday"",""hour"":""12:00 PM - 11:00 PM""},{""day"":""Wednesday"",""hour"":""12:00 PM - 9:00 PM""},{""day"":""Sunday"",""hour"":""9:00 AM - 8:00 PM""},{""day"":""Tuesday"",""hour"":""11:00 AM - 8:00 PM""},{""day"":""Tue"",""hour"":""05:00AM - 12:00AM""},{""day"":""Wed"",""hour"":""05:00AM - 12:00AM""},{""day"":""Mon"",""hour"":""05:00AM - 12:00AM""},{""day"":""Sat"",""hour"":""05:00AM - 12:00AM""},{""day"":""Friday"",""hour"":""12:00 PM - 9:00 PM""},{""day"":""Sun"",""hour"":""05:00AM - 12:00AM""},{""day"":""Fri"",""hour"":""05:00AM - 12:00AM""}]",,,"us/co/denver/2727wevansave/1977486226",,"39.6794","-105.0212",,,"King Soopers",,,,,,"discover,american express,visa,mastercard,check,cash",,"+1 303-936-2375,+1 303-936-2377","80219",,,,"Retail","Grocery,Magazines Books,Western Union,Beauty Supplies,Flu Shots,Diet Nutrition,Prescription Refills,Cosmetics Hair Care,Braces / Canes / Crutches / Walkers,Full Pharmacy,Vitamins","CO",,,,"[{""dateSeen"":""2019-03-19T00:00:00Z"",""username"":""ANONYMOUS1234"",""date"":""2010-03-18T00:00:00.000Z"",""text"":""LOVELY STORE NICE"",""doRecommend"":""false"",""sourceURLs"":[""http://www.citysearch.com/profile/1844114/denver_co/king_soopers.html""]},{""dateSeen"":""2019-03-19T00:00:00Z"",""username"":""jaem0803"",""date"":""2009-01-08T00:00:00.000Z"",""text"":""Worst location to shop at I used to love king soopers over all other grocers until I moved to a neighborhood where this location is the closest one to me. On numerous occasions it has been understaffed to a temper boiling level. One evening after I had packed my cart to the brim I arrive to the check out stands and there is not a single person at a register. I go find the lady working the self check out and her only response is oh, they're all on break I ask when one will be back and she says ten minutes and that I could use the self check out! I don't even want to go into how annoying that was considering there is only so much space to place an item until you have to remove a bag and then everything stops till the lady presses an continue button from her computer. Oh and someone comes up to me and says You have WAY too many items to be here and I said politely Im not here by choice mamn. She leaves. By the time I got home and about 20 other customers passed me by ALL, and I mean ALL of my frozen goods were thawed and drippy. Besides the understaffed issue, their shelves are understocked. Produce and meat are slim pickings all the time. The floors, carts, and everything always feel really dirty. I hate going to this place so much that I drive an extra 2 miles out of my way to avoid it when it's just 10 blocks away."",""doRecommend"":""false"",""sourceURLs"":[""http://www.citysearch.com/profile/1844114/denver_co/king_soopers.html""]},{""dateSeen"":""2019-03-19T00:00:00Z"",""username"":""ex worker"",""date"":""2010-09-10T00:00:00.000Z"",""text"":""kingsoopers treat workers bad I use to work at the kingsooopers on evans for 7 months but i quit. I liked working there when i started and then after the 6th month it just went down hill. They love to give lots of hours with low pay. i use to work up to 45 hours in a week and only make 160 at the most so it sucked. The managers treat there employees like there just useless. I had a fellow employee that had requested two weeksoff 6 months ahead to go on a cruise. the week before she was about to leave they told her that she couldnt go they made her work. She wanted to quit but these times these days it is hard to find a job. Well all im saying is dont blame the employees blame the managers there the ones who run everything. I ALSO ENCOURAGE NO ONE TO WORK THERE"",""doRecommend"":""false"",""sourceURLs"":[""http://www.citysearch.com/profile/1844114/denver_co/king_soopers.html""]}]",,,"http://www.citysearch.com/profile/1844114/denver_co/king_soopers.html,https://www.yellowbook.com/profile/king-soopers_1635365229.html,http://www.yellowbook.com/profile/king-soopers_1635365229.html",,,"MyKingSoopers","https://www.kingsoopers.com/,https://www.kingsoopers.com/stores/details/620/00056?cid=loc_62000056_other,http://www.kingsoopers.com/",,
