"","lon","lat"
"115",-105.03486,39.63159
"215",-105.00527,39.73352
"216",-104.99379,39.73502
"217",-104.97177,39.76347
"218",-104.94074,39.74194
"219",-104.96466,39.74323
"220",-104.99603,39.72224
"221",-104.99544,39.72223
"222",-104.993793,39.745211
"223",-104.94206,39.75999
"226",-104.96972,39.76836
"227",-104.98367,39.74011
"228",-105.04089,39.77052
"229",-105.04116,39.77005
"230",-104.9837,39.73698
"231",-104.98987,39.7146
"232",-104.95862,39.74004
"233",-104.98282,39.755
"234",-104.9688,39.74432
"235",-104.97663,39.74798
"236",-104.98197,39.74636
"237",-105.0455,39.70335
"238",-104.97924,39.74932
"239",-104.98643,39.76
"240",-104.90399,39.72798
"241",-104.88848,39.72883
"242",-104.99215,39.74688
"243",-104.98718,39.67415
"244",-104.98577,39.75862
"245",-104.97776,39.75596
"246",-104.97662,39.75127
"247",-105.046912,39.7288349
"248",-105.01748,39.76993
"249",-105.02992,39.65976
"250",-104.97177,39.73906
"251",-104.88979,39.75248
"252",-105.01064,39.77973
"253",-104.97899,39.73226
"254",-104.93513,39.67168
"256",-104.94521,39.7559
"257",-104.96066,39.74549
"258",-105.03804,39.75716
"259",-105.02096,39.75693
"260",-104.9872,39.75881
"261",-104.973,39.76278
"262",-104.9024,39.75526
"263",-104.98318,39.73165
"264",-105.01452,39.71253
"265",-105.04247,39.67347
"266",-105.03963,39.7517
"267",-105.04092,39.63674
"268",-104.95906,39.73856
"269",-104.96564,39.74363
"270",-104.98631,39.75379
"271",-104.97445,39.73891
"272",-104.99892,39.73894
"273",-104.9772,39.7611
"274",-104.97633,39.76783
"275",-104.92946,39.76488
"276",-104.9749,39.74847
"277",-104.95892,39.7374
"278",-105.02305,39.6818
"279",-105.02259,39.73516
"280",-104.98366,39.70552
"281",-104.91016,39.69695
"282",-105.04106,39.74079
"283",-104.98265,39.74539
"284",-104.96481,39.76602
"285",-104.91843,39.77304
"286",-105.04648,39.71202
"287",-104.87338,39.65422
"288",-104.97123,39.76412
"289",-104.9525,39.73697
"290",-104.99597,39.76016
"291",-104.90946,39.75018
"292",-105.00814,39.73969
"293",-105.00929,39.76213
"294",-104.98448,39.74643
"295",-104.97308,39.76316
"296",-105.02362,39.69417
"297",-104.9761,39.73133
"298",-104.99096,39.73835
"299",-104.97325,39.7615
"301",-105.03805,39.75518
"302",-104.97264,39.73101
"303",-105.03121,39.73923
"304",-104.98314,39.7893
"305",-104.98463,39.79031
"306",-105.04661,39.73059
"307",-105.02511,39.66762
"308",-104.90001,39.63766
"309",-104.884991,39.737011
"310",-104.899192,39.722053
"311",-105.0081,39.76203
"312",-104.99409,39.74653
"313",-104.96918,39.75914
"314",-104.99837,39.75152
"315",-104.99147,39.75153
"316",-105.02845,39.71039
"317",-104.88614,39.73772
"320",-105.0441,39.76816
"321",-105.0468,39.76712
"322",-104.98197,39.74105
"323",-104.99246,39.71669
"324",-104.97782,39.75285
"325",-104.98534,39.75338
"326",-105.00206,39.78007
"327",-104.88904,39.65025
"328",-105.02179,39.75273
"329",-105.01697,39.75969
"330",-105.04589,39.73049
"331",-104.97297,39.74916
"332",-104.94824,39.71573
"333",-104.94894,39.71579
"335",-105.00055,39.73798
"336",-104.99596,39.73033
"337",-104.97122,39.76119
"338",-104.98579,39.79017
"339",-104.92788,39.76444
"340",-105.00212,39.73238
"341",-104.98717,39.72422
"342",-104.91441,39.67449
"343",-105.05177,39.71094
"344",-105.03539,39.63774
"345",-105.05034,39.74181
"346",-104.97173,39.74526
"347",-105.04557,39.72973
"348",-104.98749,39.73434
"349",-105.00096,39.7506
"350",-104.98617,39.75816
"351",-104.83379,39.77571
"352",-105.02658,39.65946
"353",-105.02439,39.69459
"354",-104.94338,39.68132
"355",-105.03343,39.73647
"356",-104.94429,39.73853
"357",-104.99907,39.73239
"358",-105.0029,39.73888
"359",-104.96321,39.758585
"360",-105.00547,39.76814
"361",-104.98647,39.75131
"362",-104.97424,39.75431
"363",-104.98196,39.73909
"364",-105.01634,39.67296
"365",-105.02401,39.68957
"366",-104.9975,39.72972
"367",-105.0419,39.70433
"368",-105.03866,39.70716
"369",-105.04257,39.70465
"370",-104.98117,39.74891
"371",-104.98013,39.74882
"372",-104.97827,39.74954
"373",-104.97993,39.74974
"374",-104.98513,39.75287
"375",-104.94415,39.76387
"376",-104.89801,39.75054
"377",-104.97297,39.74938
"378",-105.04701,39.73614
"379",-104.97126,39.74105
"380",-104.94968,39.74104
"381",-104.98017,39.73565
"382",-104.97905,39.738
"383",-104.92496,39.74087
"384",-105.02806,39.68307
"385",-104.98649,39.74219
"386",-104.877451,39.725454
"387",-104.98036,39.74011
"388",-104.9687,39.74138
"389",-104.96885,39.7407
"390",-104.9105,39.67349
"391",-104.98321,39.73794
"392",-105.00441,39.69284
"393",-104.99391,39.74558
"394",-104.99242,39.69131
"395",-104.93913,39.6885
"396",-104.916533,39.733659
"397",-104.81187,39.77325
"398",-105.01558,39.69664
"399",-105.01011,39.78024
"400",-105.05508,39.79056
"401",-104.97301,39.74973
"402",-105.00964,39.77985
"403",-105.02202,39.79385
"404",-105.00348,39.7336
"405",-104.90726,39.69774
"407",-104.97178,39.76428
"408",-105.00017,39.74987
"409",-105.02418,39.73378
"410",-104.994669,39.751729
"411",-104.993445,39.752669
"412",-104.90001,39.63825
"413",-105.01544,39.7591
"414",-104.99193,39.74694
"415",-104.99759,39.73622
"416",-104.9799,39.74821
"417",-104.98142,39.70922
"418",-105.04752,39.7678
"419",-104.97903,39.74437
"420",-104.96585,39.74859
"421",-104.97388,39.74769
"422",-104.9796,39.74253
"423",-105.01277,39.76056
"424",-105.0257,39.75577
"425",-104.76746,39.78104
"426",-104.99906,39.73332
"427",-104.98057,39.75966
"428",-104.97698,39.76245
"429",-105.049,39.74119
"430",-105.00834,39.69544
"431",-105.00825,39.69605
"432",-104.96758,39.73741
"433",-104.97781,39.7541
"434",-105.02843,39.71053
"435",-105.03688,39.73732
"436",-104.986625,39.715512
"437",-105.03233,39.70149
"438",-105.03155,39.70043
"439",-104.97054,39.76019
"440",-104.9707,39.76065
"441",-104.96633,39.74125
"442",-104.88847,39.74152
"444",-104.97925,39.75418
"445",-104.9272,39.66757
