name,city,county,state,zip,latitude,longitude,total_units,programs_and_designations,Sec8HCV,RuralSec515,Senior,LIHTC,PublicHsg,HOMEipp,Disabilities
Allendale Apartments,Arvada,Adams County,Colorado,80004,39.8103,-105.12067,8," Section 202 Supportive Housing for the Elderly, Project-Based Rental Assistance, Senior (62+), Accessible Units",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Allison Village,Arvada,Adams County,Colorado,80002,39.79401,-105.0849,37," Section 8 Project-Based Rental Assistance, Project-Based Rental Assistance",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Arvada Cottages,Arvada,Adams County,Colorado,80004,39.80715,-105.13165,16," Section 8 Project-Based Rental Assistance, Project-Based Rental Assistance",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Arvada House,Arvada,Adams County,Colorado,80004,39.8032,-105.10902,88," Section 8 Project-Based Rental Assistance, Section 42 Low-Income Housing Tax Credit (LIHTC), Project-Based Rental Assistance",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Castlegate Apartments,Arvada,Adams County,Colorado,80003,39.85032,-105.07466,504," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Columbine Village Apartments,Arvada,Adams County,Colorado,80002,39.79122,-105.08527,60," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Columbine Village on Allison I,Arvada,Adams County,Colorado,80002,39.79339,-105.08555,67," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV), Senior (62+)",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Columbine Village on Allison II,Arvada,Adams County,Colorado,80002,39.79355,-105.08477,44," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV), Senior (62+)",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Columbine Village on Allison III,Arvada,Adams County,Colorado,80002,39.79329,-105.08424,61," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV), Senior (62+)",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
El Prado Apartments,Arvada,Adams County,Colorado,80002,39.79396,-105.09087,96," Section 42 Low-Income Housing Tax Credit (LIHTC), Accepts Section 8 Housing Choice Vouchers (HCV)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
