"","lon","lat"
"1",-105.000224,39.754103
"2",-104.992614,39.745239
"3",-105.0014,39.699543
"4",-104.992024,39.745703
"5",-104.99743,39.748799
"6",-104.98724,39.716119
"7",-104.945664,39.740381
"8",-104.9925328,39.7533249
"9",-104.9288926,39.740440799
"10",-105.025065,39.710231
"11",-104.959793,39.678622
"13",-104.9434,39.7404
"14",-105.0813,39.66585
"15",-104.98595,39.729642
"16",-104.987999,39.709155
"17",-104.9984,39.7483
"18",-104.94072,39.67343
"19",-104.96259,39.70748
"20",-105.001753,39.768768
"21",-105.0307,39.7691
"22",-104.9203,39.7061
"23",-104.94035,39.67342
"24",-104.915097,39.678809
"25",-104.903922,39.766627
"26",-104.846486,39.769471
"27",-104.99174,39.74822
"29",-104.90348,39.72028
"30",-105.012018,39.71171
"31",-104.847639,39.777116
"32",-104.987921,39.708684
"33",-104.99444,39.74652
"34",-104.997604,39.748405
"35",-104.9664,39.7403
"36",-104.913528,39.678874
"37",-104.997472,39.711106
"38",-105.0246,39.6808
"39",-104.988,39.707
"40",-104.9132,39.6782
"41",-104.9943,39.7651
"42",-104.768293,39.785031
"43",-105.007,39.7696
"44",-105.02562,39.78704
"45",-105.024771,39.745461
"46",-104.94982,39.71852
"47",-105.025433,39.715938
"48",-104.913,39.6786
"49",-104.939252,39.739927
"50",-104.957275,39.73983
"51",-104.901286,39.652103
"52",-104.901524,39.769179
"53",-104.89695,39.6377
"54",-104.901054,39.758034
"55",-104.915919,39.65254
"56",-104.90582,39.65351
"57",-104.95944,39.740253
"58",-104.8954,39.6269
"59",-105.03493,39.76194
"60",-105.00541,39.75475
"61",-104.84566,39.78111
"62",-104.9869,39.69331
"63",-104.99233,39.74546
"64",-104.98721,39.66957
"65",-104.93861,39.72901
"66",-105.02538,39.688
"67",-105.04549,39.76956
"68",-104.90327,39.72057
"69",-104.96259,39.70748
"70",-104.902,39.769
"71",-105.02287,39.67854
"72",-104.98869,39.7433
"73",-104.9896,39.7433
"74",-104.991853,39.74492
"75",-104.99912,39.750275
"76",-104.98111,39.731285
"77",-104.9001,39.6535
"78",-104.89925,39.624546
"79",-104.9038,39.7678
"80",-104.99459,39.749107
"81",-104.9767,39.73977
"82",-104.9542,39.74026
"83",-104.90053,39.7676
"84",-104.882721,39.649571
"85",-104.942284,39.679928
"86",-104.9914,39.7383
"87",-104.953258,39.718043
"88",-104.94157,39.74019
"89",-104.95213,39.71794
"90",-104.94566,39.74038
"91",-104.99999,39.75027
"92",-104.99916,39.73814
"93",-104.973488,39.677578
"94",-104.92607,39.740416
"95",-104.978418,39.781376
