sys_loc_code,loc_desc,sample_date,matrix_code,lab_name_code,analytic_method,fraction,cas_rn,chemical_name,report_result_value,report_result_unit,validator_qualifiers,lab_qualifiers,longitude,latitude
BC21,Bear Creek - South Platte Confluence,1/10/2018,WS,TESTAMERICA,200.7(W),T,7439-95-4,Magnesium,15000,ug/L,,B,-105.013447,39.649827
BC21,Bear Creek - South Platte Confluence,1/10/2018,WS,TESTAMERICA,200.7(W),T,7440-09-7,Potassium,2500,ug/L,,J,-105.013447,39.649827
BC21,Bear Creek - South Platte Confluence,1/10/2018,WS,TESTAMERICA,200.7(W),T,7440-23-5,Sodium,39000,ug/L,,B,-105.013447,39.649827
BC21,Bear Creek - South Platte Confluence,1/10/2018,WS,TESTAMERICA,200.7(W),T,7440-70-2,Calcium,56000,ug/L,,B,-105.013447,39.649827
BC21,Bear Creek - South Platte Confluence,1/10/2018,WS,TESTAMERICA,200.7(W),T,7439-98-7,Molybdenum,20,ug/L,,U,-105.013447,39.649827
BC21,Bear Creek - South Platte Confluence,1/10/2018,WS,TESTAMERICA,200.7(W),D,7439-89-6,Iron,22,ug/L,U,JB,-105.013447,39.649827
BC21,Bear Creek - South Platte Confluence,1/10/2018,WS,TESTAMERICA,200.7(W),T,7439-89-6,Iron,120,ug/L,,,-105.013447,39.649827
BC21,Bear Creek - South Platte Confluence,1/10/2018,WS,TESTAMERICA,200.8(W),D,7439-92-1,Lead,1,ug/L,U,U,-105.013447,39.649827
BC21,Bear Creek - South Platte Confluence,1/10/2018,WS,TESTAMERICA,200.8(W),D,7439-96-5,Manganese,26,ug/L,,,-105.013447,39.649827
BC21,Bear Creek - South Platte Confluence,1/10/2018,WS,TESTAMERICA,200.8(W),D,7440-02-0,Nickel,0.35,ug/L,,J,-105.013447,39.649827
BC21,Bear Creek - South Platte Confluence,1/10/2018,WS,TESTAMERICA,200.8(W),D,7440-22-4,Silver,0.2,ug/L,,U,-105.013447,39.649827
BC21,Bear Creek - South Platte Confluence,1/10/2018,WS,TESTAMERICA,200.8(W),D,7440-38-2,Arsenic,2,ug/L,,U,-105.013447,39.649827
BC21,Bear Creek - South Platte Confluence,1/10/2018,WS,TESTAMERICA,200.8(W),D,7440-43-9,Cadmium,0.2,ug/L,,U,-105.013447,39.649827
